"DEMO_IND","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","AUS","Australia","2017","2017",1.7,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","AUS","Australia","2018","2018",1.7,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","AUT","Austria","2017","2017",1.5,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","AUT","Austria","2018","2018",1.5,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BEL","Belgium","2017","2017",1.7,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BEL","Belgium","2018","2018",1.6,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","CAN","Canada","2017","2017",1.5,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","CAN","Canada","2018","2018",1.5,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","CZE","Czechia","2017","2017",1.7,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","CZE","Czechia","2018","2018",1.7,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","DNK","Denmark","2017","2017",1.8,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","DNK","Denmark","2018","2018",1.7,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","FIN","Finland","2017","2017",1.5,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","FIN","Finland","2018","2018",1.4,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","FRA","France","2017","2017",1.9,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","FRA","France","2018","2018",1.9,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","DEU","Germany","2017","2017",1.6,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","DEU","Germany","2018","2018",1.6,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","GRC","Greece","2017","2017",1.4,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","GRC","Greece","2018","2018",1.4,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","HUN","Hungary","2017","2017",1.5,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","HUN","Hungary","2018","2018",1.6,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","ISL","Iceland","2017","2017",1.7,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","ISL","Iceland","2018","2018",1.7,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","IRL","Ireland","2017","2017",1.8,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","IRL","Ireland","2018","2018",1.8,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","ITA","Italy","2017","2017",1.3,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","ITA","Italy","2018","2018",1.3,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","JPN","Japan","2017","2017",1.4,,
